Constituency,Ac No,Const. Type,Cand Age,Cand Category,Cand Name,Gender,Cand Sl No,% of Vote Share,"""Candidate Count""",Total Votes (Overall),State Filter,Margin Bands,LOD: Cand Votes Polled,Cand Votes as % of Total Const Votes,winner count,Age Band,Candidate_Position (copy),Candidate_Position (group),Candidate Position,Count of Candidates (SNo),LOD: Const Votes Polled,Partyabbre,Partytype,Party Name,St Code,State,Total Votes Polled,Total Votes Polled (R),Year,Margin
Malerkotla,105,GEN,45,GEN,Razia Sultana,Female,4,0.37%,Candidate Count,13901424,TRUE,Upto 100,51418,45%,0,41-45,2,Lost,2,1,113434,INC,National,Indian National Congress,S19,Punjab,51418,51418,2012,0
Sultanpur lodhi,28,GEN,72,GEN,Upinderjit Kaur,Female,1,0.31%,Candidate Count,13901424,TRUE,Upto 100,43635,44%,0,>70,2,Lost,2,1,99171,SAD,State,Shiromani Akali Dal,S19,Punjab,43635,43635,2012,0
Nawan shahr,47,GEN,62,GEN,Satinder Kaur Kariha,Female,1,0.25%,Candidate Count,13901424,TRUE,Upto 100,34151,29%,0,61-70,2,Lost,2,1,117192,SAD,State,Shiromani Akali Dal,S19,Punjab,34151,34151,2012,0
Malerkotla,105,GEN,57,GEN,F. Nesara Khatoon (Farzana Alam),Female,1,0.41%,Candidate Count,13901424,TRUE,5001-10000,56618,50%,1,51-60,1,Won,1,1,113434,SAD,State,Shiromani Akali Dal,S19,Punjab,56618,51418,2012,"5,200"
Ghanaur,113,GEN,53,GEN,Harpreet Kaur Mukhmailpura,Female,1,0.37%,Candidate Count,13901424,TRUE,1001-2000,51627,45%,1,51-60,1,Won,1,1,114054,SAD,State,Shiromani Akali Dal,S19,Punjab,51627,49849,2012,"1,778"
Bholath,26,GEN,57,GEN,Bibi Jagir Kaur,Female,3,0.36%,Candidate Count,13901424,TRUE,5001-10000,49392,51%,1,51-60,1,Won,1,1,96178,SAD,State,Shiromani Akali Dal,S19,Punjab,49392,42387,2012,"7,005"
Patiala Rural,110,GEN,58,GEN,Kuldeep Kaur Tohra,Female,3,0.25%,Candidate Count,13901424,TRUE,Upto 100,34475,27%,0,51-60,2,Lost,2,1,127930,SAD,State,Shiromani Akali Dal,S19,Punjab,34475,34475,2012,0
Khadoor Sahib,24,GEN,55,GEN,Sukhwant Kaur,Female,4,0.01%,Candidate Count,13901424,TRUE,Upto 100,1137,1%,0,51-60,5,Lost,5,1,137047,LJP,State,Lok Jan Shakti Party,S19,Punjab,1137,1137,2012,0
Amargarh,106,GEN,28,GEN,Rukhsana,Female,6,0.00%,Candidate Count,13901424,TRUE,Upto 100,228,0%,0,Upto 30,12,Lost,12,1,117435,LJP,State,Lok Jan Shakti Party,S19,Punjab,228,228,2012,0
Batala,7,GEN,46,GEN,Harbhajan Kaur,Female,4,0.00%,Candidate Count,13901424,TRUE,Upto 100,273,0%,0,46-50,7,Lost,7,1,119965,BSA,Unrecognised,Bahujan Shakti,S19,Punjab,273,273,2012,0
Rajpura,111,GEN,46,GEN,Neeru Chaudhary,Female,4,0.04%,Candidate Count,13901424,TRUE,Upto 100,5475,5%,0,46-50,3,Lost,3,1,111371,PPOP,Unrecognised,People's Party Of Punjab,S19,Punjab,5475,5475,2012,0
Raja sansi,12,GEN,49,GEN,Balbir Kaur,Female,5,0.00%,Candidate Count,13901424,TRUE,Upto 100,641,1%,0,46-50,6,Lost,6,1,127671,RBCP,Unrecognised,Rashtriya Bahujan Congress Party,S19,Punjab,641,641,2012,0
S.A.S.Nagar,53,GEN,50,GEN,Paramjit Kaur,Female,5,0.00%,Candidate Count,13901424,TRUE,Upto 100,140,0%,0,46-50,10,Lost,10,1,124678,ARWP,Unrecognised,Akhil Rashtrawadi Party,S19,Punjab,140,140,2012,0
Ajnala,11,GEN,45,GEN,Jagdish Kaur,Female,6,0.00%,Candidate Count,13901424,TRUE,Upto 100,231,0%,0,41-45,9,Lost,9,1,115607,BSP(A),Unrecognised,Bahujan Samaj Party  (Ambedkar),S19,Punjab,231,231,2012,0
Rupnagar,50,GEN,60,GEN,Kulwant Kaur,Female,6,0.00%,Candidate Count,13901424,TRUE,Upto 100,378,0%,0,51-60,9,Lost,9,1,114754,SAD(M),Unrecognised,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),S19,Punjab,378,378,2012,0
Zira,75,GEN,45,GEN,Jaswinder Kaur,Female,5,0.01%,Candidate Count,13901424,TRUE,Upto 100,1147,1%,0,41-45,5,Lost,5,1,136572,IND,Independent,Independent,S19,Punjab,1147,1147,2012,0
Sujanpur,1,GEN,39,GEN,Kiran Sharma,Female,6,0.01%,Candidate Count,13901424,TRUE,Upto 100,751,1%,0,36-40,7,Lost,7,1,110978,IND,Independent,Independent,S19,Punjab,751,751,2012,0
Amritsar East,18,GEN,37,GEN,Simarpreet Kaur,Female,6,0.19%,Candidate Count,13901424,TRUE,Upto 100,26307,29%,0,36-40,2,Lost,2,1,92024,IND,Independent,Independent,S19,Punjab,26307,26307,2012,0
Amloh,56,GEN,34,GEN,Karamjit Kaur Dharamsot,Female,6,0.00%,Candidate Count,13901424,TRUE,Upto 100,367,0%,0,31-35,9,Lost,9,1,93266,IND,Independent,Independent,S19,Punjab,367,367,2012,0
Ghanaur,113,GEN,51,GEN,Sukhwinder Kaur,Female,6,0.00%,Candidate Count,13901424,TRUE,Upto 100,252,0%,0,51-60,9,Lost,9,1,114054,IND,Independent,Independent,S19,Punjab,252,252,2012,0
Jalalabad,79,GEN,43,GEN,Agya Rani,Female,7,0.00%,Candidate Count,13901424,TRUE,Upto 100,138,0%,0,41-45,16,Lost,16,1,149395,IND,Independent,Independent,S19,Punjab,138,138,2012,0
Abohar,81,GEN,43,GEN,Sunita Doda,Female,7,0.00%,Candidate Count,13901424,TRUE,Upto 100,434,0%,0,41-45,6,Lost,6,1,114869,IND,Independent,Independent,S19,Punjab,434,434,2012,0
Patiala,115,GEN,38,GEN,Karamjit Kaur,Female,7,0.00%,Candidate Count,13901424,TRUE,Upto 100,131,0%,0,36-40,9,Lost,9,1,95537,IND,Independent,Independent,S19,Punjab,131,131,2012,0
Pathankot,3,GEN,46,GEN,Shashi Bala,Female,8,0.00%,Candidate Count,13901424,TRUE,Upto 100,292,0%,0,46-50,8,Lost,8,1,94742,IND,Independent,Independent,S19,Punjab,292,292,2012,0
Bholath,26,GEN,65,GEN,Jagir Kaur,Female,8,0.00%,Candidate Count,13901424,TRUE,Upto 100,672,1%,0,61-70,5,Lost,5,1,96178,IND,Independent,Independent,S19,Punjab,672,672,2012,0
Anandpur Sahib,49,GEN,61,GEN,Davinder Kaur,Female,8,0.01%,Candidate Count,13901424,TRUE,Upto 100,1354,1%,0,61-70,5,Lost,5,1,127368,IND,Independent,Independent,S19,Punjab,1354,1354,2012,0
Rajpura,111,GEN,34,GEN,Sandeepa Kamboj,Female,8,0.00%,Candidate Count,13901424,TRUE,Upto 100,252,0%,0,31-35,12,Lost,12,1,111371,IND,Independent,Independent,S19,Punjab,252,252,2012,0
Dera bassi,112,GEN,37,GEN,Manpreet Kaur Dolly,Female,8,0.05%,Candidate Count,13901424,TRUE,Upto 100,7563,5%,0,36-40,4,Lost,4,1,141644,IND,Independent,Independent,S19,Punjab,7563,7563,2012,0
Firozpur City,76,GEN,59,GEN,Kuldeep Kaur Sandhu,Female,9,0.00%,Candidate Count,13901424,TRUE,Upto 100,660,1%,0,51-60,6,Lost,6,1,114903,IND,Independent,Independent,S19,Punjab,660,660,2012,0
Faridkot,87,GEN,27,GEN,Khushpreet Kaur @ Khushpal Kaur,Female,9,0.00%,Candidate Count,13901424,TRUE,Upto 100,158,0%,0,Upto 30,11,Lost,11,1,112163,IND,Independent,Independent,S19,Punjab,158,158,2012,0
Malerkotla,105,GEN,34,GEN,Razia,Female,9,0.00%,Candidate Count,13901424,TRUE,Upto 100,170,0%,0,31-35,9,Lost,9,1,113434,IND,Independent,Independent,S19,Punjab,170,170,2012,0
Patiala Rural,110,GEN,38,GEN,Karamjit Kaur,Female,9,0.00%,Candidate Count,13901424,TRUE,Upto 100,176,0%,0,36-40,16,Lost,16,1,127930,IND,Independent,Independent,S19,Punjab,176,176,2012,0
Pathankot,3,GEN,27,GEN,Munisha,Female,10,0.01%,Candidate Count,13901424,TRUE,Upto 100,712,1%,0,Upto 30,6,Lost,6,1,94742,IND,Independent,Independent,S19,Punjab,712,712,2012,0
Amritsar South,19,GEN,43,GEN,Ramanbir  Kaur,Female,10,0.00%,Candidate Count,13901424,TRUE,Upto 100,531,1%,0,41-45,4,Lost,4,1,91308,IND,Independent,Independent,S19,Punjab,531,531,2012,0
Ludhiana South,61,GEN,53,GEN,Seeta Devi,Female,10,0.00%,Candidate Count,13901424,TRUE,Upto 100,147,0%,0,51-60,10,Lost,10,1,88816,IND,Independent,Independent,S19,Punjab,147,147,2012,0
Ludhiana North,65,GEN,45,GEN,Sandhya James,Female,10,0.00%,Candidate Count,13901424,TRUE,Upto 100,413,0%,0,41-45,8,Lost,8,1,111194,IND,Independent,Independent,S19,Punjab,413,413,2012,0
Fazilka,80,GEN,36,GEN,Rajdeep Kaur,Female,10,0.01%,Candidate Count,13901424,TRUE,Upto 100,1136,1%,0,36-40,7,Lost,7,1,126300,IND,Independent,Independent,S19,Punjab,1136,1136,2012,0
Rajpura,111,GEN,59,GEN,Balwinder Kaur Cheema,Female,10,0.01%,Candidate Count,13901424,TRUE,Upto 100,747,1%,0,51-60,6,Lost,6,1,111371,IND,Independent,Independent,S19,Punjab,747,747,2012,0
Kotkapura,88,GEN,34,GEN,Manjit Kaur,Female,11,0.01%,Candidate Count,13901424,TRUE,Upto 100,943,1%,0,31-35,7,Lost,7,1,111499,IND,Independent,Independent,S19,Punjab,943,943,2012,0
Amritsar North,15,GEN,36,GEN,Monika Mahajan,Female,12,0.00%,Candidate Count,13901424,TRUE,Upto 100,371,0%,0,36-40,6,Lost,6,1,111603,IND,Independent,Independent,S19,Punjab,371,371,2012,0
Rampura Phul,90,GEN,40,GEN,Manjit Kaur,Female,13,0.01%,Candidate Count,13901424,TRUE,Upto 100,758,1%,0,36-40,7,Lost,7,1,126933,IND,Independent,Independent,S19,Punjab,758,758,2012,0
Patiala Rural,110,GEN,62,GEN,Ranjit Kaur,Female,15,0.00%,Candidate Count,13901424,TRUE,Upto 100,184,0%,0,61-70,15,Lost,15,1,127930,IND,Independent,Independent,S19,Punjab,184,184,2012,0
Pathankot,3,GEN,46,GEN,Ashwani Kumar Sharma,Male,1,0.30%,Candidate Count,13901424,TRUE,10001-20000,42218,45%,1,46-50,1,Won,1,1,94742,BJP,National,Bharatiya Janata Party,S19,Punjab,42218,24362,2012,"17,856"
Batala,7,GEN,52,GEN,Ashwani Sekhri,Male,1,0.48%,Candidate Count,13901424,TRUE,10001-20000,66806,56%,1,51-60,1,Won,1,1,119965,INC,National,Indian National Congress,S19,Punjab,66806,47921,2012,"18,885"
Fatehgarh Churian,9,GEN,66,GEN,Tripat Rajinder Singh Bajwa,Male,1,0.40%,Candidate Count,13901424,TRUE,101-1000,56176,49%,1,61-70,1,Won,1,1,115031,INC,National,Indian National Congress,S19,Punjab,56176,55537,2012,639
Dera baba nanak,10,GEN,53,GEN,Sukhjinder Singh,Male,1,0.48%,Candidate Count,13901424,TRUE,2001-5000,66294,50%,1,51-60,1,Won,1,1,132011,INC,National,Indian National Congress,S19,Punjab,66294,63354,2012,"2,940"
Amritsar North,15,GEN,47,GEN,Anil Joshi,Male,1,0.45%,Candidate Count,13901424,TRUE,10001-20000,62374,56%,1,46-50,1,Won,1,1,111603,BJP,National,Bharatiya Janata Party,S19,Punjab,62374,45394,2012,"16,980"
Amritsar Central,17,GEN,55,GEN,Om Parkash Soni (E),Male,1,0.34%,Candidate Count,13901424,TRUE,10001-20000,47357,55%,1,51-60,1,Won,1,1,85602,INC,National,Indian National Congress,S19,Punjab,47357,34560,2012,"12,797"
Amritsar East,18,GEN,51,GEN,Sunil Dutta,Male,1,0.19%,Candidate Count,13901424,TRUE,Upto 100,25964,28%,0,51-60,3,Lost,3,1,92024,INC,National,Indian National Congress,S19,Punjab,25964,25964,2012,0
Khem karan,22,GEN,71,GEN,Gurchet Singh,Male,1,0.43%,Candidate Count,13901424,TRUE,Upto 100,60226,41%,0,>70,2,Lost,2,1,148000,INC,National,Indian National Congress,S19,Punjab,60226,60226,2012,0
Bholath,26,GEN,46,GEN,Sukhpal Singh,Male,1,0.30%,Candidate Count,13901424,TRUE,Upto 100,42387,44%,0,46-50,2,Lost,2,1,96178,INC,National,Indian National Congress,S19,Punjab,42387,42387,2012,0
Nakodar,31,GEN,68,GEN,Amarjit Singh Samra,Male,1,0.38%,Candidate Count,13901424,TRUE,Upto 100,52849,38%,0,61-70,2,Lost,2,1,138252,INC,National,Indian National Congress,S19,Punjab,52849,52849,2012,0
Jalandhar central,35,GEN,40,GEN,Surinder Singh Arora,Male,1,0.00%,Candidate Count,13901424,TRUE,Upto 100,287,0%,0,36-40,7,Lost,7,1,97457,NCP,National,Nationalist Congress Party,S19,Punjab,287,287,2012,0
Jalandhar North,36,GEN,66,GEN,Avtar Henry,Male,1,0.36%,Candidate Count,13901424,TRUE,Upto 100,50495,43%,0,61-70,2,Lost,2,1,116262,INC,National,Indian National Congress,S19,Punjab,50495,50495,2012,0
Mukerian,39,GEN,62,GEN,Ajit Kumar Narang,Male,1,0.10%,Candidate Count,13901424,TRUE,Upto 100,13524,11%,0,61-70,3,Lost,3,1,124057,INC,National,Indian National Congress,S19,Punjab,13524,13524,2012,0
Dasuya,40,GEN,55,GEN,Amarjit Singh,Male,1,0.42%,Candidate Count,13901424,TRUE,5001-10000,57969,48%,1,51-60,1,Won,1,1,121977,BJP,National,Bharatiya Janata Party,S19,Punjab,57969,51746,2012,"6,223"
Urmar,41,GEN,58,GEN,Sangat Singh,Male,1,0.37%,Candidate Count,13901424,TRUE,5001-10000,51915,45%,1,51-60,1,Won,1,1,115990,INC,National,Indian National Congress,S19,Punjab,51915,46386,2012,"5,529"
Balachaur,48,GEN,47,GEN,Shiv Ram Singh,Male,1,0.16%,Candidate Count,13901424,TRUE,Upto 100,21943,21%,0,46-50,2,Lost,2,1,102566,BSP,National,Bahujan Samaj Party,S19,Punjab,21943,21943,2012,0
Anandpur Sahib,49,GEN,54,GEN,Kanwar Pal Singh,Male,1,0.39%,Candidate Count,13901424,TRUE,Upto 100,54714,43%,0,51-60,2,Lost,2,1,127368,INC,National,Indian National Congress,S19,Punjab,54714,54714,2012,0
Rupnagar,50,GEN,51,GEN,Ajit Singh Bhaini,Male,1,0.04%,Candidate Count,13901424,TRUE,Upto 100,5420,5%,0,51-60,4,Lost,4,1,114754,BSP,National,Bahujan Samaj Party,S19,Punjab,5420,5420,2012,0
S.A.S.Nagar,53,GEN,52,GEN,Balbir Singh Sidhu,Male,1,0.46%,Candidate Count,13901424,TRUE,10001-20000,64005,51%,1,51-60,1,Won,1,1,124678,INC,National,Indian National Congress,S19,Punjab,64005,47249,2012,"16,756"
Fatehgarh Sahib,55,GEN,46,GEN,Kuljit Singh Nagra,Male,1,0.26%,Candidate Count,13901424,TRUE,2001-5000,36573,33%,1,46-50,1,Won,1,1,111529,INC,National,Indian National Congress,S19,Punjab,36573,33035,2012,"3,538"
Amloh,56,GEN,62,GEN,Kuldeep Singh,Male,1,0.04%,Candidate Count,13901424,TRUE,Upto 100,4867,5%,0,61-70,4,Lost,4,1,93266,BSP,National,Bahujan Samaj Party,S19,Punjab,4867,4867,2012,0
Khanna,57,GEN,38,GEN,Gurkirat Singh,Male,1,0.32%,Candidate Count,13901424,TRUE,5001-10000,45045,38%,1,36-40,1,Won,1,1,117428,INC,National,Indian National Congress,S19,Punjab,45045,37767,2012,"7,278"
Samrala,58,GEN,69,GEN,Amrik Singh,Male,1,0.39%,Candidate Count,13901424,TRUE,5001-10000,54810,45%,1,61-70,1,Won,1,1,122589,INC,National,Indian National Congress,S19,Punjab,54810,45860,2012,"8,950"
Ludhiana East,60,GEN,54,GEN,Gurmail Singh Pehalwan,Male,1,0.24%,Candidate Count,13901424,TRUE,Upto 100,33586,31%,0,51-60,2,Lost,2,1,107487,INC,National,Indian National Congress,S19,Punjab,33586,33586,2012,0
Ludhiana South,61,GEN,47,GEN,Ashok Prashar,Male,1,0.12%,Candidate Count,13901424,TRUE,Upto 100,16737,19%,0,46-50,3,Lost,3,1,88816,INC,National,Indian National Congress,S19,Punjab,16737,16737,2012,0
Atam Nagar,62,GEN,35,GEN,Sukhwinder Singh Gill,Male,1,0.00%,Candidate Count,13901424,TRUE,Upto 100,391,0%,0,31-35,7,Lost,7,1,97512,NCP,National,Nationalist Congress Party,S19,Punjab,391,391,2012,0
Ludhiana central,63,GEN,77,GEN,Satpal Gosain,Male,1,0.29%,Candidate Count,13901424,TRUE,Upto 100,40541,42%,0,>70,2,Lost,2,1,97266,BJP,National,Bharatiya Janata Party,S19,Punjab,40541,40541,2012,0
Ludhiana West,64,GEN,37,GEN,Kunal,Male,1,0.01%,Candidate Count,13901424,TRUE,Upto 100,1549,1%,0,36-40,4,Lost,4,1,110061,BSP,National,Bahujan Samaj Party,S19,Punjab,1549,1549,2012,0
Dakha,68,GEN,56,GEN,Surinder Singh,Male,1,0.01%,Candidate Count,13901424,TRUE,Upto 100,1258,1%,0,51-60,4,Lost,4,1,138356,BSP,National,Bahujan Samaj Party,S19,Punjab,1258,1258,2012,0
Moga,73,GEN,66,GEN,Joginder Pal Jain,Male,1,0.45%,Candidate Count,13901424,TRUE,2001-5000,62200,46%,1,61-70,1,Won,1,1,134065,INC,National,Indian National Congress,S19,Punjab,62200,57575,2012,"4,625"
Dharamkot,74,GEN,56,GEN,Sukhjit Singh,Male,1,0.42%,Candidate Count,13901424,TRUE,Upto 100,58632,44%,0,51-60,2,Lost,2,1,132972,INC,National,Indian National Congress,S19,Punjab,58632,58632,2012,0
Firozpur City,76,GEN,48,GEN,Sukhpal Singh,Male,1,0.25%,Candidate Count,13901424,TRUE,Upto 100,34820,30%,0,46-50,2,Lost,2,1,114903,BJP,National,Bharatiya Janata Party,S19,Punjab,34820,34820,2012,0
Guru har sahai,78,GEN,58,GEN,Gurmeet Singh Sodhi,Male,1,0.45%,Candidate Count,13901424,TRUE,2001-5000,62054,49%,1,51-60,1,Won,1,1,126812,INC,National,Indian National Congress,S19,Punjab,62054,58805,2012,"3,249"
Fazilka,80,GEN,56,GEN,Surjit Kumar Jyani,Male,1,0.29%,Candidate Count,13901424,TRUE,1001-2000,40901,32%,1,51-60,1,Won,1,1,126300,BJP,National,Bharatiya Janata Party,S19,Punjab,40901,39209,2012,"1,692"
Abohar,81,GEN,57,GEN,Sunil Kumar Jakhar,Male,1,0.40%,Candidate Count,13901424,TRUE,5001-10000,55613,48%,1,51-60,1,Won,1,1,114869,INC,National,Indian National Congress,S19,Punjab,55613,45825,2012,"9,788"
Gidderbaha,84,GEN,33,GEN,Amrinder Singh Raja Warring,Male,1,0.36%,Candidate Count,13901424,TRUE,10001-20000,50305,40%,1,31-35,1,Won,1,1,124523,INC,National,Indian National Congress,S19,Punjab,50305,36653,2012,"13,652"
Faridkot,87,GEN,74,GEN,Avtar Singh Brar,Male,1,0.35%,Candidate Count,13901424,TRUE,Upto 100,49335,44%,0,>70,2,Lost,2,1,112163,INC,National,Indian National Congress,S19,Punjab,49335,49335,2012,0
Mansa,96,GEN,62,GEN,Hardev Singh Arshi,Male,1,0.22%,Candidate Count,13901424,TRUE,Upto 100,30487,21%,0,61-70,3,Lost,3,1,148464,CPI,National,Communist Party of India,S19,Punjab,30487,30487,2012,0
Sardulgarh,97,GEN,61,GEN,Ajit Inder Singh,Male,1,0.45%,Candidate Count,13901424,TRUE,2001-5000,63167,46%,1,61-70,1,Won,1,1,137594,INC,National,Indian National Congress,S19,Punjab,63167,60435,2012,"2,732"
Sunam,101,GEN,37,GEN,Aman Arora,Male,1,0.45%,Candidate Count,13901424,TRUE,Upto 100,63112,45%,0,36-40,2,Lost,2,1,140371,INC,National,Indian National Congress,S19,Punjab,63112,63112,2012,0
Barnala,103,GEN,62,GEN,Kewal Singh Dhillon,Male,1,0.39%,Candidate Count,13901424,TRUE,5001-10000,54570,46%,1,61-70,1,Won,1,1,117630,INC,National,Indian National Congress,S19,Punjab,54570,49048,2012,"5,522"
Dhuri,107,GEN,44,GEN,Arvind Khanna,Male,1,0.37%,Candidate Count,13901424,TRUE,10001-20000,51536,46%,1,41-45,1,Won,1,1,112902,INC,National,Indian National Congress,S19,Punjab,51536,39063,2012,"12,473"
Sangrur,108,GEN,57,GEN,Surinder Pal Singh Sibia,Male,1,0.35%,Candidate Count,13901424,TRUE,Upto 100,48657,39%,0,51-60,2,Lost,2,1,125156,INC,National,Indian National Congress,S19,Punjab,48657,48657,2012,0
Patiala Rural,110,GEN,40,GEN,Ajay Singh,Male,1,0.00%,Candidate Count,13901424,TRUE,Upto 100,322,0%,0,36-40,11,Lost,11,1,127930,NCP,National,Nationalist Congress Party,S19,Punjab,322,322,2012,0
Rajpura,111,GEN,53,GEN,Hardyal Singh Kamboj,Male,1,0.46%,Candidate Count,13901424,TRUE,>20000,64250,58%,1,51-60,1,Won,1,1,111371,INC,National,Indian National Congress,S19,Punjab,64250,32740,2012,"31,510"
Dera bassi,112,GEN,49,GEN,Satish Sharma,Male,1,0.04%,Candidate Count,13901424,TRUE,Upto 100,5333,4%,0,46-50,5,Lost,5,1,141644,BSP,National,Bahujan Samaj Party,S19,Punjab,5333,5333,2012,0
Patiala,115,GEN,69,GEN,Amarinder Singh,Male,1,0.48%,Candidate Count,13901424,TRUE,>20000,66041,69%,1,61-70,1,Won,1,1,95537,INC,National,Indian National Congress,S19,Punjab,66041,23723,2012,"42,318"
Sujanpur,1,GEN,49,GEN,Dinesh Singh,Male,2,0.36%,Candidate Count,13901424,TRUE,>20000,50408,45%,1,46-50,1,Won,1,1,110978,BJP,National,Bharatiya Janata Party,S19,Punjab,50408,27312,2012,"23,096"
Pathankot,3,GEN,53,GEN,Sansar Chand,Male,2,0.01%,Candidate Count,13901424,TRUE,Upto 100,1129,1%,0,51-60,5,Lost,5,1,94742,BSP,National,Bahujan Samaj Party,S19,Punjab,1129,1129,2012,0
Qadian,6,GEN,62,GEN,Kulwant Singh,Male,2,0.01%,Candidate Count,13901424,TRUE,Upto 100,1510,1%,0,61-70,5,Lost,5,1,122276,BSP,National,Bahujan Samaj Party,S19,Punjab,1510,1510,2012,0
Ajnala,11,GEN,60,GEN,Harpartap Singh Ajnala,Male,2,0.39%,Candidate Count,13901424,TRUE,Upto 100,54629,47%,0,51-60,2,Lost,2,1,115607,INC,National,Indian National Congress,S19,Punjab,54629,54629,2012,0
Raja sansi,12,GEN,56,GEN,Sukhbinder Singh Sarkaria,Male,2,0.45%,Candidate Count,13901424,TRUE,1001-2000,62085,49%,1,51-60,1,Won,1,1,127671,INC,National,Indian National Congress,S19,Punjab,62085,61001,2012,"1,084"
Majitha,13,GEN,36,GEN,Shalinder Jit Singh Shelly,Male,2,0.05%,Candidate Count,13901424,TRUE,Upto 100,7629,7%,0,36-40,3,Lost,3,1,115266,INC,National,Indian National Congress,S19,Punjab,7629,7629,2012,0
Amritsar North,15,GEN,40,GEN,Karamjit Singh Rintu,Male,2,0.33%,Candidate Count,13901424,TRUE,Upto 100,45394,41%,0,36-40,2,Lost,2,1,111603,INC,National,Indian National Congress,S19,Punjab,45394,45394,2012,0
Amritsar Central,17,GEN,51,GEN,Jagdish Raj,Male,2,0.01%,Candidate Count,13901424,TRUE,Upto 100,808,1%,0,51-60,4,Lost,4,1,85602,BSP,National,Bahujan Samaj Party,S19,Punjab,808,808,2012,0
Amritsar South,19,GEN,44,GEN,Jasbir Singh Gill (Dimpa),Male,2,0.24%,Candidate Count,13901424,TRUE,Upto 100,33254,36%,0,41-45,2,Lost,2,1,91308,INC,National,Indian National Congress,S19,Punjab,33254,33254,2012,0
Patti,23,GEN,47,GEN,Harminder Singh Gill,Male,2,0.46%,Candidate Count,13901424,TRUE,Upto 100,64355,48%,0,46-50,2,Lost,2,1,134784,INC,National,Indian National Congress,S19,Punjab,64355,64355,2012,0
Bholath,26,GEN,33,GEN,Jagpreet Singh,Male,2,0.01%,Candidate Count,13901424,TRUE,Upto 100,894,1%,0,31-35,4,Lost,4,1,96178,BSP,National,Bahujan Samaj Party,S19,Punjab,894,894,2012,0
Shahkot,32,GEN,63,GEN,Col. C D Singh Kamboj,Male,2,0.36%,Candidate Count,13901424,TRUE,Upto 100,50440,41%,0,61-70,2,Lost,2,1,123697,INC,National,Indian National Congress,S19,Punjab,50440,50440,2012,0
Jalandhar central,35,GEN,53,GEN,Manoranjan Kalia,Male,2,0.32%,Candidate Count,13901424,TRUE,1001-2000,44963,46%,1,51-60,1,Won,1,1,97457,BJP,National,Bharatiya Janata Party,S19,Punjab,44963,43898,2012,"1,065"
